numsinusername,posts,followers,following,ratio,biolength,fake
0.27,32,1000,955,0.955,75,0
0,286,2740,533,0.194525547,66,0
0.1,13,159,98,0.616352201,75,0
0,679,414,651,1.572463768,66,0
0,6,151,126,0.834437086,79,0
0,344,669987,150,0.000223885,112,0
0,16,122,177,1.450819672,78,0
0,33,1078,76,0.070500928,105,0
0,72,1824,2713,1.487390351,93,0
0,213,12945,813,0.062804171,26,0
0,648,9884,1173,0.118676649,33,0
0,76,1188,365,0.307239057,138,0
0,298,945,583,0.616931217,119,0
0,117,12033,248,0.020609989,147,0
0,487,1962,2701,1.376656473,113,0
0,254,50374,900,0.01786636,137,0
0,59,7007,289,0.04124447,120,0
0.29,1570,1128,694,0.615248227,101,0
0,378,34670,1878,0.054167868,101,0
0,526,2338,776,0.331907613,82,0
0,228,3516,999,0.284129693,78,0
0,35,1809,416,0.229961305,30,0
0,281,427,470,1.100702576,76,0
0,285,759,956,1.259552042,70,0
0,148,15338538,61,3.98E-06,120,0
0,57,109,179,1.642201835,75,0
0,17,536,665,1.240671642,148,0
0,511,121354,176,0.001450302,145,0
0,230,2284,130,0.056917688,56,0
0,15,186,174,0.935483871,69,0
0,980,687,1517,2.208151383,11,0
0.13,53,966,952,0.985507246,142,0
0,111,177,170,0.960451977,96,0
0,719,744,967,1.299731183,84,0
0,1164,542073,674,0.001243375,12,0
0.18,497,5315651,2703,0.000508498,150,0
0.33,18,267,328,1.228464419,56,0
0,50,691,680,0.984081042,124,0
0,74,120,112,0.933333333,73,0
0,8,105,98,0.933333333,66,0
0,7389,890969,11,1.23E-05,84,0
0,420,361853,583,0.001611151,87,0
0,433,3678,1359,0.36949429,123,0
0,156,92192,16,0.000173551,34,0
0,4494,12397719,8,6.45E-07,150,0
0,751,380510,0,0,122,0
0,4,132,183,1.386363636,63,0
0,27,162,208,1.283950617,40,0
0,91,369,546,1.479674797,53,0
0,262,1476,666,0.451219512,32,0
0,274,1798,461,0.256395996,47,0
0,271,2118,1109,0.523607177,69,0
0,713,812,432,0.532019704,31,0
0,200,7217,761,0.105445476,32,0
0,12,313,376,1.201277955,148,0
0.12,26,64,261,4.078125,94,0
0,75,1759,643,0.365548607,16,0
0,94,404,283,0.70049505,67,0
0,63,1843,598,0.324470971,101,0
0.12,69,320377,228,0.000711662,40,0
0,12,108,97,0.898148148,93,0
0,63,384,447,1.1640625,11,0
0.19,19,60,100,1.666666667,94,0
0,100,802,151,0.188279302,144,0
0,661,51145,528,0.01032359,113,0
0,149,1582,1882,1.189633375,26,0
0,22,223,266,1.192825112,65,0
0,400,18842,744,0.039486254,67,0
0,149,10240,1255,0.122558594,140,0
0,122,539,639,1.185528757,63,0
0.33,74,399,452,1.13283208,78,0
0,13,581,568,0.977624785,136,0
0,8,166,163,0.981927711,148,0
0,77,417,362,0.868105516,78,0
0.2,5,266,324,1.218045113,90,0
0,3,33,37,1.121212121,42,0
0,106,494,998,2.020242915,126,0
0,14,178,245,1.376404494,145,0
0,172,470,288,0.612765957,108,0
0.33,111,807,675,0.836431227,70,0
0,38,162,256,1.580246914,52,0
0.06,19,417,395,0.947242206,34,0
0,227,17303,360,0.020805641,61,0
0,221,1439,629,0.437109104,86,0
0,580,91446,526,0.005752029,18,0
0,40,824,489,0.593446602,113,0
0,101,741,1440,1.943319838,85,0
0,157,1267,899,0.709550118,20,0
0,197,4594,1713,0.372877667,46,0
0,61,1135,899,0.792070485,83,0
0,698,1926,1410,0.732087227,99,0
0,49,1068,1925,1.802434457,61,0
0,85,815,748,0.917791411,87,0
0,77,565,469,0.830088496,99,0
0,58,2556,1074,0.420187793,10,0
0,232,1312,935,0.712652439,68,0
0,20,699,599,0.856938484,86,0
0,98,4328,418,0.096580407,108,0
0,559,2487,999,0.401688782,146,0
0,189,673,438,0.650817236,63,0
0,388,730,413,0.565753425,100,0
0,28,59,55,0.93220339,96,0
0,156,289,222,0.76816609,128,0
0,6,19,20,1.052631579,72,0
0,69,3551,173,0.048718671,113,0
0,775,19512,591,0.030289053,94,0
0,205,2756,638,0.23149492,114,0
0,209,5406,589,0.108953015,121,0
0,334,459,390,0.849673203,147,0
0,9,218,75,0.344036697,13,0
0,6,796,1155,1.451005025,22,0
0,416,1113,1854,1.665768194,86,0
0.2,13,138,208,1.507246377,102,0
0.44,33,205,164,0.8,13,0
0,1,331,333,1.006042296,72,0
0.1,711,748,4659,6.228609626,89,0
0,114,490,1093,2.230612245,100,0
0,16,456,413,0.905701754,43,0
0,107,971,2047,2.108135942,11,0
0.24,5,497,438,0.881287726,120,0
0.14,7,99,132,1.333333333,141,0
0,21,193,413,2.139896373,51,0
0,65,492,689,1.400406504,24,0
0.29,10,167,164,0.982035928,137,0
0,59,99,178,1.797979798,146,0
0,137,916,1142,1.246724891,40,0
0,10,196,209,1.066326531,35,0
0,571,765,424,0.554248366,48,0
0.18,24,45,80,1.777777778,101,0
0,328,634,719,1.134069401,34,0
0,161,1383,7500,5.422993492,68,0
0,280,650,703,1.081538462,13,0
0,92,484,3296,6.809917355,144,0
0,31,200,270,1.35,111,0
0,0,192,65,0.338541667,84,0
0,25,553,610,1.103074141,47,0
0,921,27477,7202,0.262110128,78,0
0,1020,464,1039,2.239224138,39,0
0,301,1057,524,0.495742668,63,0
0,9,413,138,0.334140436,134,0
0,158,389,806,2.071979434,15,0
0.29,43,505,503,0.996039604,11,0
0,24,941,1208,1.283740701,111,0
0,60,2598,802,0.308698999,124,0
0,4,59,111,1.881355932,35,0
0,220,622,475,0.763665595,36,0
0,1159,2719,1061,0.390216992,105,0
0.36,8,216,305,1.412037037,99,0
0.22,396,881,375,0.425652667,17,0
0.08,38,870,72,0.082758621,137,0
0,1,265,371,1.4,57,0
0.15,2,1204,633,0.525747508,122,0
0,43,655,1016,1.551145038,29,0
0,131,1662,1065,0.640794224,94,0
0.14,7,14222,7399,0.520250316,93,0
0,57,483,1216,2.517598344,129,0
0,36,1204,2928,2.431893688,109,0
0,91,408,635,1.556372549,39,0
0,8,303,417,1.376237624,49,0
0.1,11,125,101,0.808,102,0
0.09,252,229,383,1.672489083,38,0
0.15,15,357,489,1.369747899,48,0
0,74,137,96,0.700729927,55,0
0,83,255,535,2.098039216,149,0
0,126,87,399,4.586206897,38,0
0,663,326946,3,9.18E-06,59,0
0,0,114,446,3.912280702,18,0
0,10,167,387,2.317365269,47,0
0,8,1247,1196,0.959101844,112,0
0,24,585,1364,2.331623932,145,0
0,65,135,232,1.718518519,104,0
0,64,722,261,0.361495845,141,0
0.45,664,714,1159,1.6232493,12,0
0,130,39867,4664,0.116988988,10,0
0,131,533,1060,1.988742964,52,0
0,917,1158,3932,3.395509499,148,0
0,2,45834,280,0.006109002,66,0
0,142,876,529,0.603881279,121,0
0.09,165,3003,455,0.151515152,82,0
0.09,80,1298,407,0.313559322,54,0
0,32,3800,278,0.073157895,42,0
0,81,1358,127,0.093519882,92,0
0,334,6741307,111,1.65E-05,110,0
0.38,8,791,456,0.576485461,39,0
0,373,732075,363,0.000495851,15,0
0,56,373,360,0.965147453,150,0
0,7,162,311,1.919753086,53,0
0,12,309,364,1.177993528,143,0
0,5,135,176,1.303703704,12,0
0,77,244,172,0.704918033,74,0
0.18,93,67,149,2.223880597,76,0
0,192,984,76,0.077235772,80,0
0,8,751,1223,1.62849534,87,0
0,145,781,529,0.677336748,126,0
0,135,1761,905,0.51391255,32,0
0.14,18,318,523,1.644654088,33,0
0,222,5282,652,0.123438092,134,0
0,222,5282,652,0.123438092,52,0
0,5,228,238,1.043859649,70,0
0,119,393,502,1.27735369,14,0
0,201,875,754,0.861714286,74,0
0,12,173,373,2.156069364,13,0
0,301,3896490,351,9.01E-05,104,0
0,20,106,133,1.254716981,58,0
0.08,112,206,32,0.155339806,49,0
0,54,259,1371,5.293436293,39,0
0,98,1013,996,0.983218164,81,0
0.11,16,738,544,0.737127371,70,0
0,133,1008,517,0.512896825,46,0
0,142,2441,396,0.162228595,27,0
0,63,416,292,0.701923077,58,0
0,70,516,463,0.897286822,129,0
0,403,8711,345,0.039605097,58,0
0,15,433,584,1.348729792,112,0
0,990,18515,1000,0.054010262,143,0
0,12,70,67,0.957142857,64,0
0.22,26,5863,157,0.0267781,44,0
0.36,2,1677,716,0.426952892,23,0
0,24,617,272,0.440842788,140,0
0,411,31182,414,0.013276891,123,0
0,217,1152,292,0.253472222,45,0
0.15,156,8578,164,0.019118676,90,0
0,389,4347,748,0.172072694,102,0
0,8,319,335,1.05015674,100,0
0,3,189,177,0.936507937,112,0
0,22,743,331,0.445491252,145,0
0.18,59,11204,124,0.011067476,39,0
0,144,419,271,0.646778043,38,0
0,2,81,268,3.308641975,44,0
0,78,947,582,0.614572334,115,0
0,28,206,333,1.616504854,112,0
0,111,541,701,1.295748614,91,0
0.18,6,392,237,0.604591837,149,0
0.22,4,4177,3678,0.88053627,148,0
0.17,31,265,321,1.211320755,82,0
0,86,272,1486,5.463235294,108,0
0,240,425,917,2.157647059,85,0
0,11,150,178,1.186666667,67,0
0,44,711,673,0.946554149,112,0
0,9,89,121,1.359550562,32,0
0,62,742,653,0.880053908,68,0
0,0,96,50,0.520833333,27,0
0,15,77,107,1.38961039,91,0
0,53,195,395,2.025641026,115,0
0,2,9,13,1.444444444,39,0
0,52,10794,3164,0.293125811,69,0
0.19,1,104,15,0.144230769,68,0
0,62,318,569,1.789308176,43,0
0.18,247,355,137,0.385915493,79,0
0.31,9,99,488,4.929292929,62,0
0,13,300,372,1.24,125,0
0.15,204,139,61,0.438848921,95,0
0,0,13,77,5.923076923,98,0
0.22,51,606,430,0.709570957,17,0
0,15,428,333,0.778037383,145,0
0,108,494,545,1.103238866,10,0
0.24,353,1261,2187,1.734337827,100,0
0,5,68,87,1.279411765,33,0
0,560,205558,53,0.000257835,16,0
0,85,668,609,0.911676647,73,0
0,95,1456,555,0.381181319,92,0
0.14,14,410,387,0.943902439,77,0
0,52,298,555,1.862416107,95,0
0,7,254,345,1.358267717,141,0
0,197,1070,1072,1.001869159,45,0
0.17,89,1167,618,0.529562982,32,0
0,34,335,300,0.895522388,49,0
0.08,283,346,426,1.231213873,89,0
0,65,1746,1631,0.934135166,78,0
0,126,268,370,1.380597015,11,0
0,327,537,1002,1.865921788,33,0
0,42,805,488,0.60621118,65,0
0,36,1504,52,0.034574468,63,0
0,3,104,119,1.144230769,80,0
0,53,380,462,1.215789474,140,0
0,7,257,346,1.346303502,36,0
0,103,1775,7500,4.225352113,84,0
0.3,241,1456,1200,0.824175824,138,0
0,103,265,264,0.996226415,25,0
0,93,1051,694,0.660323501,36,0
0.11,1,77,34,0.441558442,29,0
0,16,220,323,1.468181818,39,0
0.07,32,178,81,0.45505618,69,0
0,1232,728,1213,1.666208791,137,0
0,75,668,294,0.44011976,136,0
0,5,406,408,1.004926108,64,0
0,3,37,22,0.594594595,145,0
0,30,56,114,2.035714286,108,0
0.22,0,90,333,3.7,6,1
0.38,0,60,31,0.516666667,9,1
0.43,2,271,445,1.642066421,5,1
0,3,1,80,80,7,1
0.5,13,158,309,1.955696203,10,1
0.31,0,39,64,1.641025641,10,1
0.22,1,0,11,inf,9,1
0,0,0,853,inf,8,1
0.25,10,0,23,inf,10,1
0,0,12,5,0.416666667,0,1
0.33,0,10,18,1.8,10,1
0.33,0,1,34,34,4,1
0,0,1,8,8,7,1
0,0,0,0,inf,10,1
0.12,0,31,213,6.870967742,8,1
0.18,0,5,10,2,7,1
0.5,5,18,58,3.222222222,9,1
0.5,0,12,77,6.416666667,8,1
0.5,0,6,37,6.166666667,1,1
0.57,0,47,10,0.212765957,0,1
0.45,0,33,4,0.121212121,9,1
0.5,141,4,279,69.75,6,1
0.57,6,5,15,3,8,1
0,1,0,44,inf,9,1
0.44,0,5,17,3.4,1,1
0,1,107,42,0.392523364,3,1
0.88,39,8,60,7.5,1,1
0,0,48,6,0.125,1,1
0.22,9,2,215,107.5,8,1
0,0,51,126,2.470588235,8,1
0,21,5,48,9.6,3,1
0,0,0,802,inf,10,1
0.55,0,26,46,1.769230769,5,1
0.07,0,0,601,inf,4,1
0.8,3,76,168,2.210526316,6,1
0,0,165,689,4.175757576,7,1
0,0,115,230,2,4,1
0.31,0,6,15,2.5,5,1
0.4,0,24,49,2.041666667,5,1
0.33,0,40,236,5.9,10,1
0,6,32,52,1.625,10,1
0.33,0,0,35,inf,7,1
0.36,0,21,44,2.095238095,8,1
0.55,1,79,767,9.708860759,9,1
0.41,4,8,37,4.625,4,1
0.43,0,49,79,1.612244898,5,1
0.11,0,31,91,2.935483871,10,1
0,0,15,41,2.733333333,6,1
0.25,0,4,3,0.75,9,1
0.44,0,0,229,inf,7,1
0.3,17,316,1165,3.686708861,3,1
0.1,0,0,0,inf,9,1
0,1,3,1,0.333333333,7,1
0,0,2,30,15,8,1
0.29,7,221,244,1.104072398,9,1
0,13,181,935,5.165745856,2,1
0,0,9,167,18.55555556,6,1
0.67,0,2,0,0,6,1
0.31,0,25,86,3.44,0,1
0,5,26,129,4.961538462,7,1
0.89,124,15,305,20.33333333,5,1
0,9,59,48,0.813559322,6,1
0.2,5,7,47,6.714285714,5,1
0.12,2,40,179,4.475,0,1
0,0,51,41,0.803921569,4,1
0,150,133,750,5.639097744,7,1
0,29,25,39,1.56,9,1
0.18,108,864,3646,4.219907407,1,1
0,77,73,35,0.479452055,6,1
0.38,3,184,170,0.923913043,3,1
0.43,7,161,333,2.068322981,9,1
0.22,3,42,694,16.52380952,6,1
0,131,279,1124,4.028673835,5,1
0,40,219,155,0.707762557,6,1
0.24,4,18,106,5.888888889,6,1
0.44,84,106,171,1.613207547,9,1
0.5,299,34,108,3.176470588,3,1
0,11,42,26,0.619047619,5,1
0.16,0,1,13,13,10,1
0.89,0,38,68,1.789473684,8,1
0.58,1,34,44,1.294117647,10,1
0.29,4,23,151,6.565217391,5,1
0.3,0,23,37,1.608695652,4,1
0.5,0,83,139,1.674698795,3,1
0.4,0,25,28,1.12,8,1
0,3,13,38,2.923076923,6,1
0.25,0,64,60,0.9375,3,1
0.36,0,90,69,0.766666667,0,1
0.33,0,82,6,0.073170732,3,1
0,0,140,319,2.278571429,1,1
0.36,0,0,29,inf,10,1
0.3,1,51,420,8.235294118,2,1
0.12,7,38,87,2.289473684,5,1
0.33,3,21,733,34.9047619,9,1
0.38,0,5,121,24.2,5,1
0.4,0,21,45,2.142857143,10,1
0.57,5,124,249,2.008064516,5,1
0.22,0,5,56,11.2,10,1
0.38,1,2,16,8,6,1
0.64,0,42,46,1.095238095,0,1
0.33,12,48,45,0.9375,7,1
0.31,0,32,25,0.78125,1,1
0,0,0,71,inf,8,1
0.25,0,0,0,inf,9,1
0.12,1,10,104,10.4,0,1
0.38,92,19,31,1.631578947,0,1
0.31,0,138,99,0.717391304,10,1
0.2,0,11,157,14.27272727,1,1
0,0,1,64,64,8,1
0.42,0,39,40,1.025641026,7,1
0,21,446,1762,3.950672646,9,1
0.57,7,9,82,9.111111111,10,1
0,9,589,2980,5.05942275,10,1
0.06,0,27,63,2.333333333,3,1
0,14,143,500,3.496503497,5,1
0,0,0,177,inf,8,1
0,0,0,130,inf,10,1
0.21,3,124,135,1.088709677,6,1
0.07,0,12,192,16,10,1
0.42,0,16,36,2.25,1,1
0.21,1,1,2,2,4,1
0.38,1,120,181,1.508333333,3,1
0,0,0,71,inf,4,1
0,1,26,8,0.307692308,0,1
0.14,0,57,167,2.929824561,6,1
0.15,1,13,22,1.692307692,2,1
0,28,1031,208,0.201745878,1,1
0.18,0,42,146,3.476190476,9,1
0.33,25,70,64,0.914285714,0,1
0.18,0,0,8,inf,6,1
0.3,0,46,92,2,7,1
0.43,111,834,4118,4.93764988,1,1
0,2,389,392,1.007712082,4,1
0.33,0,43,221,5.139534884,1,1
0.33,0,23,40,1.739130435,5,1
0,0,5,82,16.4,3,1
0.71,0,4,25,6.25,5,1
0.5,0,17,44,2.588235294,3,1
0.25,5,182,227,1.247252747,6,1
0.33,10,108,304,2.814814815,2,1
0.5,3,43,123,2.860465116,1,1
0.29,19,77,8,0.103896104,4,1
0.09,0,32,87,2.71875,6,1
0.25,0,0,11,inf,7,1
0.13,8,40,66,1.65,6,1
0.33,2,53,303,5.716981132,1,1
0.14,10,67,90,1.343283582,3,1
0,29,122,336,2.754098361,1,1
0,0,18,49,2.722222222,9,1
0.4,0,24,88,3.666666667,4,1
0,2,35,136,3.885714286,9,1
0.4,3,119,151,1.268907563,7,1
0.1,5,6,24,4,1,1
0.43,0,34,26,0.764705882,7,1
0,63,272,295,1.084558824,6,1
0.44,1,53,137,2.58490566,6,1
0.33,4,818,618,0.755501222,1,1
0,34,82,74,0.902439024,8,1
0.38,0,40,233,5.825,0,1
0.4,0,21,76,3.619047619,2,1
0.33,6,59,38,0.644067797,10,1
0.12,2,102,109,1.068627451,9,1
0.29,7,576,474,0.822916667,10,1
0.57,0,19,16,0.842105263,0,1
0,0,66,161,2.439393939,7,1
0,5,310,894,2.883870968,2,1
0,0,16,17,1.0625,10,1
0,0,15,4,0.266666667,4,1
0.07,0,47,98,2.085106383,7,1
0,4,88,61,0.693181818,2,1
0.27,1,51,59,1.156862745,0,1
0,26,505,2330,4.613861386,7,1
0.36,9,159,433,2.72327044,0,1
0.29,4,77,1269,16.48051948,10,1
0.83,4,61,76,1.245901639,10,1
0.67,0,7,14,2,4,1
0.38,0,11,60,5.454545455,10,1
0.58,0,49,22,0.448979592,2,1
0,0,15,595,39.66666667,1,1
0.2,1,1,9,9,0,1
0,0,17,1,0.058823529,2,1
0.29,0,15,1,0.066666667,10,1
0.25,28,358,1990,5.558659218,1,1
0.25,0,20,7,0.35,6,1
0,1,50,32,0.64,10,1
0,0,57,76,1.333333333,4,1
0.31,2,12,15,1.25,2,1
0.67,2,218,792,3.633027523,4,1
0.33,9,78,98,1.256410256,2,1
0.47,1,16,23,1.4375,8,1
0.36,8,39,17,0.435897436,3,1
0,0,15,1,0.066666667,2,1
0.4,0,30,48,1.6,6,1
0.33,0,85,638,7.505882353,2,1
0.33,0,77,747,9.701298701,6,1
0.55,0,49,82,1.673469388,8,1
0.27,0,16,24,1.5,7,1
0.44,0,8,6,0.75,6,1
0.44,2,34,22,0.647058824,7,1
0.47,2,45,83,1.844444444,2,1
0.33,0,49,0,0,10,1
0,0,15,5,0.333333333,6,1
0.25,0,92,403,4.380434783,7,1
0.91,0,75,26,0.346666667,9,1
0.44,0,10,0,0,2,1
0.12,0,23,26,1.130434783,3,1
0.2,0,22,11,0.5,3,1
0.24,0,55,46,0.836363636,4,1
0.27,0,16,0,0,0,1
0.25,0,7,20,2.857142857,1,1
0.28,0,86,0,0,2,1
0.38,0,3,11,3.666666667,1,1
0.57,0,12,30,2.5,7,1
0.44,1,14,56,4,6,1
0.47,0,24,22,0.916666667,10,1
0,0,52,1,0.019230769,8,1
0.44,1,16,27,1.6875,3,1
0.44,4,17,20,1.176470588,1,1
0.57,0,50,49,0.98,7,1
0.54,5,136,1029,7.566176471,10,1
0.43,10,178,1417,7.960674157,0,1
0.89,1,50,39,0.78,2,1
0.38,2,207,2426,11.71980676,2,1
0.36,0,178,828,4.651685393,4,1
0,0,16,26,1.625,6,1
0.14,0,49,2,0.040816327,5,1
0.2,2,49,12,0.244897959,3,1
0.1,0,37,4,0.108108108,1,1
0.5,0,21,0,0,6,1
0.58,21,356,2176,6.112359551,9,1
0.44,0,46,4,0.086956522,1,1
0.22,0,49,0,0,1,1
0,0,49,58,1.183673469,10,1
0,0,44,45,1.022727273,6,1
0.13,0,42,240,5.714285714,0,1
0.38,0,47,9,0.191489362,8,1
0.1,0,48,1,0.020833333,10,1
0.91,0,75,26,0.346666667,5,1
0.08,0,115,289,2.513043478,4,1
0.88,5,53,66,1.245283019,4,1
0.67,0,32,23,0.71875,4,1
0.44,0,39,153,3.923076923,2,1
0.18,0,3033,1155,0.380811078,2,1
0.25,0,3003,825,0.274725275,3,1
0.88,1,34,36,1.058823529,7,1
0.36,37,218,1528,7.009174312,1,1
0.33,8,210,1543,7.347619048,10,1
0.2,4,1489,3715,2.494963062,0,1
0.5,0,10,2,0.2,9,1
0.33,28,201,812,4.039800995,9,1
0,0,351,2663,7.586894587,6,1
0.43,0,52,16,0.307692308,10,1
0.25,6,156,423,2.711538462,8,1
0.43,12,85,477,5.611764706,2,1
0.24,0,35,38,1.085714286,10,1
0.44,0,55,28,0.509090909,6,1
0.27,0,16,51,3.1875,10,1
0.38,0,43,88,2.046511628,6,1
0.4,2,97,408,4.206185567,8,1
0.57,2,34,112,3.294117647,3,1
0,0,2346,7272,3.099744246,4,1
0.25,0,49,95,1.93877551,5,1
0.19,2,2,55,27.5,4,1
0.46,2,40,19,0.475,8,1
0.46,0,332,1333,4.015060241,7,1
0.73,0,14,542,38.71428571,5,1
0.6,12,65,162,2.492307692,10,1
0.46,1,20,52,2.6,6,1
0.31,0,26,27,1.038461538,1,1
0.43,0,72,434,6.027777778,4,1
0,1,55,2,0.036363636,4,1
0.5,12,77,108,1.402597403,10,1
0,59,31,215,6.935483871,8,1
0.86,0,57,130,2.280701754,10,1
0.62,0,58,347,5.982758621,7,1
0.33,23,47,139,2.957446809,7,1
0.16,3,31,37,1.193548387,7,1
0.92,11,96,242,2.520833333,9,1
0.27,8,126,860,6.825396825,8,1
0.25,102,39,229,5.871794872,7,1
0.43,6,66,161,2.439393939,3,1
0.31,25,87,698,8.022988506,9,1
0.2,0,15,64,4.266666667,3,1
0.55,33,166,596,3.590361446,4,1
0.38,44,66,75,1.136363636,7,1
0.57,4,96,339,3.53125,1,1
0.57,0,57,73,1.280701754,1,1
0.27,2,150,487,3.246666667,1,1
0,341,6959,555,0.079752838,85,0
0,10,1192,1274,1.068791946,2,0
2,129,129,1133,8.782945736,129,0
2,128,479,4985,10.40709812,51,0
0,11,122,108,0.885245902,23,0
2,68,402,806,2.004975124,50,0
2,0,482,362,0.751037344,0,0
0,22,1067,1251,1.172446111,26,0
3,4,71,1783,25.11267606,6,0
2,29,333,344,1.033033033,19,0
4,15,700,756,1.08,52,0
2,40,957,526,0.549634274,46,0
4,7,188,957,5.090425532,95,0
0,0,285,316,1.10877193,70,0
0,0,152,375,2.467105263,115,0
3,131,1436,443,0.308495822,135,0
0,5,460,537,1.167391304,49,0
0,45,1202,337,0.280366057,128,0
4,7,73,138,1.890410959,74,0
4,54,989,981,0.991911021,131,0
0,2,160,197,1.23125,29,0
4,259,661,579,0.875945537,122,0
0,215,890,182,0.204494382,125,0
0,0,103,722,7.009708738,139,0
0,265,790,364,0.460759494,137,0
4,4,48,69,1.4375,81,0
0,2,570,638,1.119298246,50,0
0,2,562,553,0.983985765,18,0
4,26,480,453,0.94375,22,0
2,12,179,267,1.491620112,23,0
0,16,647,1071,1.655332303,65,0
0,85,2738,98,0.035792549,150,0
2,9,536,707,1.319029851,40,0
3,23,365,66,0.180821918,91,0
0,2,291,500,1.718213058,10,0
0,170,1296,1338,1.032407407,63,0
0,2,271,572,2.110701107,3,0
4,1,690,748,1.084057971,48,0
4,34,59,641,10.86440678,10,0
0,13,22,60,2.727272727,0,0
4,17,178,406,2.280898876,89,0
1,1,259,669,2.583011583,40,0
2,14,566,516,0.911660777,21,0
5,0,86,1089,12.6627907,86,0
0,20,43,98,2.279069767,32,0
3,0,11,81,7.363636364,28,0
0,131,1576,275,0.174492386,102,0
0,1,315,743,2.358730159,0,0
0,148,1063,1133,1.065851364,139,0
0,3452,17176,7473,0.435083838,119,0
1,100,2378,91,0.038267452,62,0
0,2,208,651,3.129807692,10,0
0,24,587,4274,7.28109029,79,0
0,90,1040,778,0.748076923,132,0
0,3,437,589,1.347826087,34,0
4,7,248,2431,9.802419355,52,0
0,2,441,335,0.759637188,15,0
1,38,222,298,1.342342342,21,0
3,5,68,285,4.191176471,19,0
0,112,1767,125,0.07074137,91,0
0,22,579,410,0.708117444,149,0
0,54,862,1794,2.081206497,86,0
0,0,1011,907,0.897131553,120,0
0,7,446,627,1.405829596,148,0
0,0,104,566,5.442307692,113,0
0,0,3960,1817,0.458838384,27,0
0,27,1430,719,0.502797203,47,0
0,2,13469,224,0.016630782,28,0
0,198,344,4154,12.0755814,20,0
0,134,539,738,1.369202226,125,0
5,16,209,463,2.215311005,77,0
0,2,424,503,1.186320755,1,0
0,6,90,46,0.511111111,11,0
2,10,508,934,1.838582677,17,0
0,45,405,7565,18.67901235,11,0
0,37,501,207,0.413173653,0,0
0,13,980,3103,3.166326531,72,0
0,0,79,457,5.784810127,3,0
0,0,202,608,3.00990099,29,0
0,167,1144,498,0.435314685,125,0
4,0,466,1877,4.027896996,25,0
0,281,910,770,0.846153846,10,0
0,73,654,850,1.29969419,141,0
4,7,768,723,0.94140625,84,0
2,0,27,57,2.111111111,26,0
3,682,825,4560,5.527272727,17,0
0,23,1320,443,0.335606061,148,0
0,4,651,907,1.393241167,28,0
0,249,191654,1,5.22E-06,118,0
0,281,1643,451,0.27449787,93,0
4,0,144,212,1.472222222,44,0
0,50,139,679,4.884892086,113,0
2,18,376,694,1.845744681,60,0
2,8,789,1691,2.143219265,133,0
0,0,210,1303,6.204761905,49,0
0,73,139,501,3.604316547,39,0
1,110,372,76,0.204301075,96,0
0,233,62898,196,0.003116156,89,0
2,1,484,649,1.340909091,49,0
4,353,805,523,0.649689441,66,0
0,47,1605,105,0.065420561,146,0
0,227,2408,276,0.11461794,126,0
0,4,29,998,34.4137931,72,0
0,41,4300,7473,1.737906977,88,0
2,0,78,260,3.333333333,19,0
0,68,603,600,0.995024876,115,0
3,4,269,643,2.390334572,69,0
2,12,257,1276,4.964980545,0,0
0,0,637,1101,1.728414443,31,0
2,61,1721,1284,0.746077862,91,0
4,16,321,803,2.501557632,36,0
0,78,47994,2715,0.056569571,145,0
4,48,342,398,1.16374269,15,0
0,70,1865,385,0.206434316,44,0
2,15,334,811,2.428143713,73,0
4,95,148,285,1.925675676,84,0
0,1,292,738,2.52739726,15,0
0,52,339,1923,5.672566372,124,0
0,1,341,292,0.856304985,107,0
0,21,403,463,1.148883375,70,0
0,102,399,1827,4.578947368,0,0
0,13,444,1370,3.085585586,141,0
2,16,63,274,4.349206349,54,0
2,15,524,689,1.314885496,9,0
4,21,1021,1049,1.027424094,9,0
0,67,421,782,1.857482185,86,0
0,2,407,1146,2.815724816,118,0
0,1118,555,702,1.264864865,122,0
0,1,159,894,5.622641509,136,0
1,2,140,300,2.142857143,26,0
1,263,1004,1063,1.05876494,147,0
4,0,546,6007,11.0018315,21,0
0,0,464,662,1.426724138,12,0
2,0,189,314,1.661375661,3,0
4,0,3787,1009,0.266437814,77,0
1,64,331,100,0.302114804,33,0
0,63,470,615,1.308510638,146,0
0,12,495,492,0.993939394,35,0
4,30,378,607,1.605820106,56,0
2,36,255,454,1.780392157,74,0
0,46,55,176,3.2,56,0
0,3,62,17,0.274193548,70,0
4,33,601,927,1.542429285,108,0
0,82,899,841,0.935483871,40,0
0,53,158,442,2.797468354,75,0
4,11,311,236,0.758842444,24,0
0,13,539,1164,2.159554731,52,0
0,3,198,470,2.373737374,82,0
0,52,2215,746,0.336794582,129,0
8.333333333,9,0,1,0,65,1
17.39130435,3,9,0,0,84,1
18.18181818,0,47,1,0.021276596,52,1
